"","quality","p","size","chi2","description"
"1",527.37,0.01,100522,668.61,"TIME.OCC=tarde, Vict.Age=joven"
"2",491.51,0.02,51242,910.98,"TIME.OCC=tarde, Vict.Sex=M, Vict.Age=joven"
"3",471.33,0.01,135327,482.03,"Vict.Sex=M, Vict.Age=joven"
"4",455.21,0.01,58281,707.26,"TIME.OCC=tarde, Vict.Sex=M"
"5",451.07,0.01,115030,461.49,"TIME.OCC=tarde"
"6",393.17,0.08,5534,4551.42,"AREA.NAME=Topanga, Vict.Sex=M, Vict.Age=joven"
"7",388.67,0.07,6250,3947.86,"AREA.NAME=Topanga, Vict.Sex=M"
"8",385.91,0.01,150966,320.66,"Vict.Sex=M"
"9",377.66,0.04,10382,2276.28,"AREA.NAME=Topanga, Vict.Age=joven"
"10",370.36,0.04,11860,1926.23,"AREA.NAME=Topanga"
"11",253.68,0.12,2276,4555.98,"AREA.NAME=Topanga, TIME.OCC=tarde, Vict.Sex=M, Vict.Age=joven"
"12",253.64,0.07,4189,2490.78,"AREA.NAME=Topanga, TIME.OCC=tarde, Vict.Age=joven"
"13",251.67,0.1,2595,3937.18,"AREA.NAME=Topanga, TIME.OCC=tarde, Vict.Sex=M"
"14",250.34,0.06,4872,2091.14,"AREA.NAME=Topanga, TIME.OCC=tarde"
"15",188.5,0.02,11520,513.1,"AREA.NAME=Van Nuys, Vict.Age=joven"
"16",183.08,0.02,12858,435.68,"AREA.NAME=Van Nuys"
"17",177.97,0.01,265362,178.48,"Vict.Age=joven"
"18",159,0.02,12870,328.34,"AREA.NAME=Wilshire, Vict.Age=joven"
"19",156.41,0.02,11375,357.6,"AREA.NAME=Mission, Vict.Age=joven"
"20",151.63,0.02,14360,269.01,"AREA.NAME=Wilshire"
