"","quality","p","size","chi2","description"
"1",185.04,0.03,6211,8731.05,"Vict.Age=menor, Vict.Sex=F"
"2",183.21,0.02,10648,5072.13,"Vict.Age=menor"
"3",161.99,0,158459,408.28,"Vict.Sex=F"
"4",126.37,0.01,11965,2154.22,"AREA.NAME=77th Street, Vict.Sex=F"
"5",124.14,0,34290,765.67,"Vict.Descent=black, Vict.Sex=F"
"6",120.23,0,27870,869.78,"AREA.NAME=77th Street"
"7",111.66,0.05,2108,9245.18,"Vict.Age=menor, Vict.Descent=black"
"8",111.17,0.09,1299,14844.84,"Vict.Age=menor, Vict.Descent=black, Vict.Sex=F"
"9",110.28,0.1,1129,16799.44,"Vict.Age=menor, AREA.NAME=77th Street"
"10",109.55,0.16,703,26596.57,"Vict.Age=menor, AREA.NAME=77th Street, Vict.Sex=F"
"11",109.31,0,62263,351.4,"Vict.Descent=black"
"12",78.15,0.03,2901,3284.4,"Vict.Age=menor, TIME.OCC=tarde, Vict.Sex=F"
"13",77.72,0.02,5141,1842.5,"Vict.Age=menor, TIME.OCC=tarde"
"14",67.71,0.01,6726,1070.79,"AREA.NAME=77th Street, Vict.Descent=black, Vict.Sex=F"
"15",66.49,0,61978,130.52,"Vict.Sex=F, TIME.OCC=tarde"
"16",66.13,0.02,4502,1517.47,"AREA.NAME=77th Street, TIME.OCC=tarde, Vict.Sex=F"
"17",66.06,0.01,10882,645.65,"AREA.NAME=77th Street, Vict.Descent=black"
"18",64.4,0.01,10350,644.33,"AREA.NAME=77th Street, TIME.OCC=tarde"
"19",57.65,0.1,556,9231.21,"Vict.Age=menor, AREA.NAME=77th Street, TIME.OCC=tarde"
"20",56.78,0.16,350,14215.27,"Vict.Age=menor, AREA.NAME=77th Street, TIME.OCC=tarde, Vict.Sex=F"
