"","quality","p","size","chi2","description"
"1",1672.03,0.02,158459,3973.51,"Vict.Sex=F"
"2",1128.21,0.02,139355,1924.69,"Vict.Sex=F, Vict.Age=joven"
"3",810.6,0.04,23406,4253.48,"TIME.OCC=madrugada, Vict.Sex=F"
"4",740.55,0.02,65699,1409.17,"Vict.Descent=Hispanic/Latin/Mexican, Vict.Sex=F"
"5",655.09,0.04,21201,3050.61,"TIME.OCC=madrugada, Vict.Sex=F, Vict.Age=joven"
"6",606.21,0.06,10648,5072.39,"Vict.Age=menor"
"7",589.1,0.02,66760,880.07,"TIME.OCC=madrugada"
"8",572.38,0.1,6211,7672.33,"Vict.Age=menor, Vict.Sex=F"
"9",545.92,0.02,46283,1032.91,"TIME.OCC=madrugada, Vict.Age=joven"
"10",543.89,0.02,39027,1193.61,"TIME.OCC=noche, Vict.Sex=F"
"11",446.78,0.02,38188,821.4,"Vict.Descent=White, Vict.Sex=F"
"12",414.16,0.02,34290,778.44,"Vict.Descent=black, Vict.Sex=F"
"13",396.96,0.02,35173,698.7,"TIME.OCC=noche, Vict.Sex=F, Vict.Age=joven"
"14",393.43,0.01,58313,439.34,"Vict.Descent=Hispanic/Latin/Mexican, Vict.Sex=F, Vict.Age=joven"
"15",377.44,0.02,32683,675.64,"Vict.Descent=White, Vict.Sex=F, Vict.Age=joven"
"16",371.99,0.06,6836,2948.56,"Vict.Age=menor, Vict.Descent=Hispanic/Latin/Mexican"
"17",368.86,0.01,133283,210.79,"Vict.Descent=Hispanic/Latin/Mexican"
"18",355.73,0.1,4025,4549.85,"Vict.Age=menor, Vict.Sex=F, Vict.Descent=Hispanic/Latin/Mexican"
"19",310.27,0.04,9928,1422.7,"TIME.OCC=madrugada, Vict.Descent=Hispanic/Latin/Mexican, Vict.Sex=F"
"20",309.02,0.02,30750,479.06,"Vict.Descent=black, Vict.Sex=F, Vict.Age=joven"
