"","Técnica","K vecinos","perc.over","Precision","Recall","F"
"1","oversampling","5","200",0.061472915398661,0.841666666666667,0.114577424844016
"2","oversampling","5","600",0.0613236187006679,0.841666666666667,0.11431805319751
"3","oversampling","5","1500",0.0616982284667074,0.841666666666667,0.114968696642003
"4","oversampling","5","5000",0.0624227441285538,0.841666666666667,0.116225546605293
"5","oversampling","5","8000",0.062039312039312,0.841666666666667,0.115560640732265
"6","oversampling","10","200",0.061472915398661,0.841666666666667,0.114577424844016
"7","oversampling","10","600",0.0613236187006679,0.841666666666667,0.11431805319751
"8","oversampling","10","1500",0.0616982284667074,0.841666666666667,0.114968696642003
"9","oversampling","10","5000",0.0624227441285538,0.841666666666667,0.116225546605293
"10","oversampling","10","8000",0.062039312039312,0.841666666666667,0.115560640732265
"11","Sin balanceo","NA","NA",0.0600832837596669,0.841666666666667,0.112159911160466
"12","Tomek link","NA","NA",0.0600118835412953,0.841666666666667,0.112035496394897
