"","tecnica","k vecinos","perc.over","Precision","Recall","F"
"1","oversampling","5","200",0.0570321151716501,0.858333333333333,0.106957424714434
"2","oversampling","5","600",0.0566868464501926,0.858333333333333,0.106350025813113
"3","oversampling","5","1500",0.0568432671081678,0.858333333333333,0.106625258799172
"4","oversampling","5","5000",0.0582908885116016,0.858333333333333,0.109167991520933
"5","oversampling","5","8000",0.0571587125416204,0.858333333333333,0.107180020811655
"6","oversampling","10","200",0.0570321151716501,0.858333333333333,0.106957424714434
"7","oversampling","10","600",0.0566868464501926,0.858333333333333,0.106350025813113
"8","oversampling","10","1500",0.0568432671081678,0.858333333333333,0.106625258799172
"9","oversampling","10","5000",0.0582908885116016,0.858333333333333,0.109167991520933
"10","oversampling","10","8000",0.0571587125416204,0.858333333333333,0.107180020811655
"11","sin balanceo","NA","NA",0.0570637119113573,0.858333333333333,0.107012987012987
"12","tomek link","NA","NA",0.0572540300166759,0.858333333333333,0.107347576862949
