"","Técnica","K vecinos","perc.over","Precision","Recall","F"
"1","oversampling","5","200",0.815126050420168,0.808333333333333,0.811715481171548
"2","oversampling","5","600",0.792,0.825,0.808163265306122
"3","oversampling","5","1500",0.6875,0.825,0.75
"4","oversampling","5","5000",0.544444444444444,0.816666666666667,0.653333333333333
"5","oversampling","5","8000",0.518518518518518,0.816666666666667,0.634304207119741
"6","oversampling","10","200",0.815126050420168,0.808333333333333,0.811715481171548
"7","oversampling","10","600",0.75,0.825,0.785714285714286
"8","oversampling","10","1500",0.6875,0.825,0.75
"9","oversampling","10","5000",0.469483568075117,0.833333333333333,0.600600600600601
"10","oversampling","10","8000",0.395256916996047,0.833333333333333,0.536193029490617
"11","sin balanceo","NA","NA",0.861111111111111,0.775,0.815789473684211
"12","tomek-link","NA","NA",0.854545454545454,0.783333333333333,0.817391304347826
"13","funcion de coste","NA","NA",0.829059829059829,0.808333333333333,0.818565400843882
